epoch,threshold,categories_after_cleaning,categories_with_single_occurrence,top1_name,top1_count,top1_share,top5_share
1,0.1,3455,2205,Cheese Pizza,304,0.030571198712791632,0.09744569589702333
2,0.11,3274,2036,Cheese Pizza,306,0.03077232502011263,0.09895414320193081
3,0.12,3128,1897,Cheese Pizza,306,0.03077232502011263,0.09925583266291231
4,0.13,2968,1751,Cheese Pizza,307,0.03087288817377313,0.09955752212389381
5,0.14,2799,1594,Cheese Pizza,307,0.03087288817377313,0.1001609010458568
6,0.15,2656,1475,Cheese Pizza,307,0.03087288817377313,0.10106596942880129
7,0.16,2501,1333,Cheese Pizza,307,0.03087288817377313,0.10227272727272728
8,0.17,2342,1219,Cheese Pizza,312,0.031375703942075624,0.10378117457763475
9,0.18,2205,1117,Cheese Pizza,312,0.031375703942075624,0.10508849557522124
10,0.19,2046,988,Cheese Pizza,313,0.03147626709573612,0.1082059533386967
11,0.2,1933,908,Cheese Pizza,313,0.03147626709573612,0.1091110217216412
12,0.21,1811,834,Cheese Pizza,314,0.03157683024939662,0.11122284794851167
13,0.22,1679,746,Cheese Pizza,314,0.03157683024939662,0.11232904263877715
14,0.23,1537,662,Cheese Pizza,336,0.03378921962992759,0.11856395816572808
15,0.24,1430,600,Cheese Pizza,358,0.03600160901045857,0.12158085277554304
16,0.25,1322,535,Cheese Pizza,358,0.03600160901045857,0.12379324215607401
17,0.26,1226,477,Cheese Pizza,358,0.03600160901045857,0.125
18,0.27,1120,411,Cheese Pizza,369,0.03710780370072406,0.12851971037811746
19,0.28,1037,361,Cheese Pizza,389,0.03911906677393403,0.1337489943684634
20,0.29,948,311,Cheese Pizza,392,0.039420756234915526,0.1409895414320193
21,0.3,857,262,Cheese Pizza,393,0.039521319388576025,0.1414923572003218
22,0.31,768,215,Cheese Pizza,400,0.04022526146419952,0.14471037811745777
23,0.32,697,180,Cheese Pizza,431,0.04334271922767498,0.1567779565567176
24,0.33,638,160,Cheese Pizza,565,0.056818181818181816,0.17256637168141592
25,0.34,595,142,Cheese Pizza,565,0.056818181818181816,0.1735720032180209
26,0.35,529,111,Cheese Pizza,565,0.056818181818181816,0.1747787610619469
27,0.36,478,98,Cheese Pizza,595,0.059835076427996785,0.21208769106999195
28,0.37,423,76,Cheese Pizza,596,0.059935639581657284,0.2170152855993564
29,0.38,369,58,Cheese Pizza,596,0.059935639581657284,0.22616653258246178
30,0.39,325,47,Cheese Pizza,596,0.059935639581657284,0.24446902654867256
31,0.4,288,39,Cheese Pizza,948,0.09533386967015285,0.3001810136765889
32,0.41,247,27,Cheese Pizza,1526,0.15345937248592115,0.3522727272727273
33,0.42,214,25,Cheese Pizza,1526,0.15345937248592115,0.374798873692679
34,0.43,178,22,Cheese Pizza,1676,0.168543845534996,0.43825422365245376
35,0.44,159,21,Cheese Pizza,1712,0.17216411906677392,0.4854183427192277
36,0.45,135,19,White Pizza,2355,0.23682622687047467,0.6817176186645213
37,0.46,113,18,White Pizza,2362,0.23753016894609816,0.7125905068382945
38,0.47,89,14,White Pizza,4856,0.4883346741753821,0.7666934835076428
39,0.48,74,12,Cheese Pizza,7067,0.710679806918745,0.8173773129525342
40,0.49,58,9,Cheese Pizza,8065,0.8110418342719228,0.9050683829444891
41,0.5,49,9,Cheese Pizza,8128,0.8173773129525342,0.914923572003218
42,0.51,41,9,Cheese Pizza,8574,0.8622284794851166,0.9502212389380531
43,0.52,31,9,Cheese Pizza,8929,0.8979283990345938,0.9869267900241352
44,0.53,26,7,Cheese Pizza,9321,0.9373491552695092,0.9916532582461786
45,0.54,23,7,Cheese Pizza,9401,0.9453942075623492,0.9933628318584071
46,0.55,18,7,Cheese Pizza,9731,0.9785800482703138,0.9974859211584876
47,0.56,16,6,Cheese Pizza,9733,0.9787811745776348,0.9976870474658085
48,0.57,11,5,Cheese Pizza,9765,0.9819991954947708,0.9992960579243765
49,0.58,8,4,Cheese Pizza,9771,0.9826025744167337,0.9996983105390185
50,0.59,5,2,Cheese Pizza,9924,0.99798873692679,1.0
51,0.6,4,2,Cheese Pizza,9928,0.998390989541432,1.0
52,0.61,4,2,Cheese Pizza,9928,0.998390989541432,1.0
53,0.62,3,1,Cheese Pizza,9929,0.9984915526950925,1.0
54,0.63,3,1,Cheese Pizza,9929,0.9984915526950925,1.0
55,0.64,2,0,Cheese Pizza,9930,0.9985921158487531,1.0
56,0.65,2,0,Cheese Pizza,9930,0.9985921158487531,1.0
57,0.66,2,0,Cheese Pizza,9930,0.9985921158487531,1.0
58,0.67,2,0,Cheese Pizza,9930,0.9985921158487531,1.0
59,0.68,2,0,Cheese Pizza,9930,0.9985921158487531,1.0
60,0.69,2,0,Cheese Pizza,9930,0.9985921158487531,1.0
